Qubit,Initial CNOT Count,File,Synthesized CNOT Count,Overhead
16,128,1,692,5.40625
16,128,10,830,6.484375
16,128,2,707,5.5234375
16,128,3,716,5.59375
16,128,4,704,5.5
16,128,5,752,5.875
16,128,6,731,5.7109375
16,128,7,770,6.015625
16,128,8,698,5.453125
16,128,9,764,5.96875
16,16,1,73,4.5625
16,16,10,94,5.875
16,16,2,121,7.5625
16,16,3,76,4.75
16,16,4,94,5.875
16,16,5,88,5.5
16,16,6,97,6.0625
16,16,7,103,6.4375
16,16,8,73,4.5625
16,16,9,94,5.875
16,256,1,1411,5.51171875
16,256,10,1528,5.96875
16,256,2,1546,6.0390625
16,256,3,1546,6.0390625
16,256,4,1447,5.65234375
16,256,5,1549,6.05078125
16,256,6,1558,6.0859375
16,256,7,1618,6.3203125
16,256,8,1504,5.875
16,256,9,1588,6.203125
16,32,1,200,6.25
16,32,10,200,6.25
16,32,2,215,6.71875
16,32,3,173,5.40625
16,32,4,197,6.15625
16,32,5,185,5.78125
16,32,6,170,5.3125
16,32,7,209,6.53125
16,32,8,158,4.9375
16,32,9,191,5.96875
16,4,1,25,6.25
16,4,10,22,5.5
16,4,2,31,7.75
16,4,3,40,10.0
16,4,4,19,4.75
16,4,5,34,8.5
16,4,6,25,6.25
16,4,7,22,5.5
16,4,8,16,4.0
16,4,9,31,7.75
16,64,1,418,6.53125
16,64,10,388,6.0625
16,64,2,373,5.828125
16,64,3,334,5.21875
16,64,4,328,5.125
16,64,5,355,5.546875
16,64,6,361,5.640625
16,64,7,382,5.96875
16,64,8,340,5.3125
16,64,9,409,6.390625
16,8,1,53,6.625
16,8,10,38,4.75
16,8,2,41,5.125
16,8,3,56,7.0
16,8,4,44,5.5
16,8,5,53,6.625
16,8,6,50,6.25
16,8,7,44,5.5
16,8,8,32,4.0
16,8,9,38,4.75
