Qubit,Initial CNOT Count,File,Synthesized CNOT Count(opt=0),Overhead(opt=0)
16,128,1,866,6.765625
16,128,10,1052,8.21875
16,128,2,1064,8.3125
16,128,3,1070,8.359375
16,128,4,1094,8.546875
16,128,5,974,7.609375
16,128,6,968,7.5625
16,128,7,950,7.421875
16,128,8,980,7.65625
16,128,9,1022,7.984375
16,16,1,109,6.8125
16,16,10,142,8.875
16,16,2,127,7.9375
16,16,3,109,6.8125
16,16,4,136,8.5
16,16,5,139,8.6875
16,16,6,121,7.5625
16,16,7,121,7.5625
16,16,8,115,7.1875
16,16,9,142,8.875
16,256,1,2080,8.125
16,256,10,1993,7.78515625
16,256,2,1999,7.80859375
16,256,3,2125,8.30078125
16,256,4,2026,7.9140625
16,256,5,2137,8.34765625
16,256,6,1987,7.76171875
16,256,7,2203,8.60546875
16,256,8,1909,7.45703125
16,256,9,2137,8.34765625
16,32,1,266,8.3125
16,32,10,227,7.09375
16,32,2,275,8.59375
16,32,3,173,5.40625
16,32,4,278,8.6875
16,32,5,311,9.71875
16,32,6,308,9.625
16,32,7,245,7.65625
16,32,8,245,7.65625
16,32,9,209,6.53125
16,4,1,43,10.75
16,4,10,28,7.0
16,4,2,37,9.25
16,4,3,40,10.0
16,4,4,25,6.25
16,4,5,28,7.0
16,4,6,16,4.0
16,4,7,28,7.0
16,4,8,22,5.5
16,4,9,43,10.75
16,64,1,520,8.125
16,64,10,553,8.640625
16,64,2,487,7.609375
16,64,3,550,8.59375
16,64,4,496,7.75
16,64,5,517,8.078125
16,64,6,469,7.328125
16,64,7,421,6.578125
16,64,8,430,6.71875
16,64,9,529,8.265625
16,8,1,86,10.75
16,8,10,65,8.125
16,8,2,68,8.5
16,8,3,65,8.125
16,8,4,74,9.25
16,8,5,68,8.5
16,8,6,62,7.75
16,8,7,53,6.625
16,8,8,44,5.5
16,8,9,74,9.25
