Qubit,Initial CNOT Count,File,Synthesized CNOT Count(opt=0),Overhead(opt=0)
16,128,1,1001,7.8203125
16,128,10,1085,8.4765625
16,128,2,1121,8.7578125
16,128,3,1103,8.6171875
16,128,4,1061,8.2890625
16,128,5,980,7.65625
16,128,6,1124,8.78125
16,128,7,1082,8.453125
16,128,8,983,7.6796875
16,128,9,1115,8.7109375
16,16,1,124,7.75
16,16,10,109,6.8125
16,16,2,124,7.75
16,16,3,97,6.0625
16,16,4,151,9.4375
16,16,5,163,10.1875
16,16,6,142,8.875
16,16,7,145,9.0625
16,16,8,127,7.9375
16,16,9,151,9.4375
16,256,1,2173,8.48828125
16,256,10,2029,7.92578125
16,256,2,2023,7.90234375
16,256,3,2086,8.1484375
16,256,4,2125,8.30078125
16,256,5,2197,8.58203125
16,256,6,2041,7.97265625
16,256,7,2176,8.5
16,256,8,2035,7.94921875
16,256,9,2149,8.39453125
16,32,1,266,8.3125
16,32,10,257,8.03125
16,32,2,239,7.46875
16,32,3,281,8.78125
16,32,4,284,8.875
16,32,5,308,9.625
16,32,6,296,9.25
16,32,7,296,9.25
16,32,8,260,8.125
16,32,9,230,7.1875
16,4,1,40,10.0
16,4,10,22,5.5
16,4,2,43,10.75
16,4,3,43,10.75
16,4,4,37,9.25
16,4,5,25,6.25
16,4,6,16,4.0
16,4,7,28,7.0
16,4,8,25,6.25
16,4,9,52,13.0
16,64,1,613,9.578125
16,64,10,496,7.75
16,64,2,523,8.171875
16,64,3,460,7.1875
16,64,4,544,8.5
16,64,5,529,8.265625
16,64,6,505,7.890625
16,64,7,514,8.03125
16,64,8,553,8.640625
16,64,9,556,8.6875
16,8,1,74,9.25
16,8,10,74,9.25
16,8,2,77,9.625
16,8,3,59,7.375
16,8,4,62,7.75
16,8,5,50,6.25
16,8,6,62,7.75
16,8,7,62,7.75
16,8,8,38,4.75
16,8,9,74,9.25
