Qubit,Initial CNOT Count,File,Synthesized CNOT Count(opt=0),Overhead(opt=0)
9,10,1,46,4.6
9,10,10,28,2.8
9,10,2,46,4.6
9,10,3,31,3.1
9,10,4,46,4.6
9,10,5,31,3.1
9,10,6,49,4.9
9,10,7,34,3.4
9,10,8,25,2.5
9,10,9,37,3.7
9,20,1,74,3.7
9,20,10,86,4.3
9,20,2,74,3.7
9,20,3,77,3.85
9,20,4,59,2.95
9,20,5,86,4.3
9,20,6,74,3.7
9,20,7,65,3.25
9,20,8,83,4.15
9,20,9,86,4.3
9,30,1,108,3.6
9,30,10,129,4.3
9,30,2,117,3.9
9,30,3,138,4.6
9,30,4,138,4.6
9,30,5,135,4.5
9,30,6,120,4.0
9,30,7,120,4.0
9,30,8,108,3.6
9,30,9,117,3.9
9,3,1,18,6.0
9,3,10,12,4.0
9,3,2,15,5.0
9,3,3,15,5.0
9,3,4,12,4.0
9,3,5,9,3.0
9,3,6,6,2.0
9,3,7,12,4.0
9,3,8,12,4.0
9,3,9,3,1.0
9,5,1,20,4.0
9,5,10,23,4.6
9,5,2,14,2.8
9,5,3,20,4.0
9,5,4,20,4.0
9,5,5,14,2.8
9,5,6,26,5.2
9,5,7,29,5.8
9,5,8,29,5.8
9,5,9,23,4.6
