Qubit,Initial CNOT Count,File,Synthesized CNOT Count(opt=0),Overhead(opt=0)
20,128,1,737,5.7578125
20,128,10,710,5.546875
20,128,2,725,5.6640625
20,128,3,746,5.828125
20,128,4,665,5.1953125
20,128,5,758,5.921875
20,128,6,704,5.5
20,128,7,779,6.0859375
20,128,8,713,5.5703125
20,128,9,677,5.2890625
20,16,1,94,5.875
20,16,10,94,5.875
20,16,2,70,4.375
20,16,3,97,6.0625
20,16,4,85,5.3125
20,16,5,100,6.25
20,16,6,70,4.375
20,16,7,94,5.875
20,16,8,82,5.125
20,16,9,94,5.875
20,256,1,1588,6.203125
20,256,10,1426,5.5703125
20,256,2,1420,5.546875
20,256,3,1450,5.6640625
20,256,4,1399,5.46484375
20,256,5,1465,5.72265625
20,256,6,1465,5.72265625
20,256,7,1375,5.37109375
20,256,8,1474,5.7578125
20,256,9,1468,5.734375
20,32,1,209,6.53125
20,32,10,155,4.84375
20,32,2,194,6.0625
20,32,3,152,4.75
20,32,4,146,4.5625
20,32,5,134,4.1875
20,32,6,176,5.5
20,32,7,179,5.59375
20,32,8,191,5.96875
20,32,9,173,5.40625
20,4,1,10,2.5
20,4,10,19,4.75
20,4,2,16,4.0
20,4,3,25,6.25
20,4,4,28,7.0
20,4,5,22,5.5
20,4,6,28,7.0
20,4,7,22,5.5
20,4,8,19,4.75
20,4,9,25,6.25
20,64,1,370,5.78125
20,64,10,394,6.15625
20,64,2,346,5.40625
20,64,3,349,5.453125
20,64,4,415,6.484375
20,64,5,349,5.453125
20,64,6,364,5.6875
20,64,7,373,5.828125
20,64,8,370,5.78125
20,64,9,325,5.078125
20,8,1,44,5.5
20,8,10,50,6.25
20,8,2,47,5.875
20,8,3,56,7.0
20,8,4,44,5.5
20,8,5,50,6.25
20,8,6,41,5.125
20,8,7,47,5.875
20,8,8,53,6.625
20,8,9,44,5.5
